societe,page,table_num,RUBRIQUE,Note,Exercice 2025,col,col_2,col_3,col_4,col_5,Exercice 2024,col_6,col_7,col_8,col_9,col_10,Notes,"Opérations brutes
TAKAFULIA,42,1,,,,"Frais d’acquisition
Autres charges de gestion nettes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CHG31 + CHG 32
CHG33 + CHG5 – PRG3","‐ 7 619 966
‐ 6 404 345",,,,,,,,,,,,,,,
TAKAFULIA,42,1,,,,Charges d’acquisition et de gestion nettes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,‐ 14 024 310,,,,,,,,,,,,,,,
TAKAFULIA,42,1,,,,Produits nets de placements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRG2 – CHG4,2 867 594,,,,,,,,,,,,,,,
TAKAFULIA,42,1,,,,Solde financier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 867 594,,,,,,,,,,,,,,,
TAKAFULIA,42,1,,,,"Part des réassureurs rétakaful et / ou des rétrocessionnaires dans
les primes acquises
Part des réassureurs rétakaful et / ou des rétrocessionnaires dans
les prestations payées
Part des réassureurs rétakaful et / ou des rétrocessionnaires dans
les charges de provisions pour prestations
Commissions reçues des réassureurs rétakaful et / ou des
rétrocessionnaires
Variation du montant des frais d'acquisition reportés des
réassureur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRG1 (2ème colonne)
CHG11 (2ème colonne)
CHG12 (2ème colonne)
CHG34
CHG32","‐ 5 734 093
524 455
428 223
1 898 721
‐ 230 386",,,,,,,,,,,,,,,
TAKAFULIA,42,1,,,,Solde de réassurance et / ou de rétrocession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,‐ 3 113 081,,,,,,,,,,,,,,,
TAKAFULIA,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Contrat ISTITHMAR WIFAK BANK (7,99%)
01/2025
Contrat WADIAA ISTITHMAR WIFAK BANK
(9,700%) 02/2025
Contrat ISTITHMAR WIFAK BANK (7,99%)
03/2025","NON VIE
VIE
Actionnaire","03/01/2025
10/01/2025
21/01/2025","05/01/2026
09/01/2030
21/01/2026","196 600
6 001 795
4 000 000","15 579
566 224
301 212",,,,,,,,,
TAKAFULIA,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Actionnaire,1 500 000,3 090,,,,,,
TAKAFULIA,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adhérents Vie,15 000 000,28 973,,,,,,
TAKAFULIA,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adhérents Non-vie,9 500 000,10 430,,,,,,
TAKAFULIA,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Actionnaire,1 600 000,3 090,,,,,,
TAKAFULIA,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adhérents Vie,15 000 000,28 973,,,,,,
TAKAFULIA,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adhérents Non-vie,5 400 000,10 430,,,,,,
