societe,page,table_num,col,col_2,2025س ربمسيد 31 ىلا يفناج 01 نم,col_3,col_4,للاغتسلال ينابم,ةنس 50 ,تاريغت,2024 يفاصلا,col_5,2025 يفاصلا,col_6,col_7,ر صانعلا,col_8,2025 تاكلاهتس ا,col_9,2025 ماخلا,col_10,col_11,رصانعلا,col_12,2024يفاصلا,2025يفاصلا,2024 يّ تاّذلا لاوملأا,2025ةّيتاّذلا لاوملأا,2024 ةّيتاّذلا لاوملأا,2025 ةّيتاّذلا لاوملأا,عومجملا,ةيتاذ لاومأ,ةنسلا جئاتن,ةلجؤم جئاتن,تاطايتحا,لاملا سأر,col_13,col_14,سأر,ةـّينف تارخدّ م,"عومجملا
)3(+)2(-)1(",ثداوحلا ىلع تارخدملا,ىواعدلا تاعقوت,تاضيوعتلا تارخدم,تانايبلا,2024 ةيفاص طاسقأ,2025 ةيفاص طاسقأ,ةدنسم طاسقأ,ةرداص طاسقأ,نيمأّتلا طاسقأ,ةيفاص طاسقأ,"ةيفاص طاسقأ
2025",ناوعلأا ءابعا,2024,2025,غ لبملا,ة يفارغجلا ةقطنملا,"صقان وأ ضئاف
ةنماكلا ةميقلا",ةحيحص ةميق,يفاص غلبم,ماخ غلبم,تافيظوتلا ءابعأو تاداريإ عيزوت لودج :13 ددع قحلملا,:ةيلاملا مئاوقلاب نيمأتلا فانصأ بسح زجع وأ ضئاف طبر لودج :16 ددع قحلملا,:ةيلاملا مئاوقلاب نيمأتلا فانصأ بسح زجع وأ ضئاف طبر لودج : 17 ددع قحلملا,"2025-12-31 ف دئاوف
ي",غ لبملا فصر خــــيرات,ي مهاسملا,ة رادلاا سلجم ءاضعأ,دعاسملا ماعلا ريدملا,ماعلا ريدملا
AMANA,7,1,"يلفاكتلا نيمأتلا ةسسؤم
نيمأتلا ةداعإ وأ/و",نيكرتشملا قودنص,"وأ/و يلفاكتلا نيمأتلا ةسسؤم
ةدحوم يلفاكتلا نيمأتلا ةداعإ","يلفاكتلا نيمأتلا ةسسؤم
نيمأتلا ةداعإ وأ/و",نيكرتشملا قودنص,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,-1 689 979,5 413 435,,3 723 456,,,,,,,,,,نيكرتشملا قودنص عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,16,4,,,,,,,,-1 907 069,5 536 604,,3 629 535,,,,,,,,,,ماعلا عومجملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,1,"-169 970 339 940 169 970
-618 135 1 067 217 449 082",,,,,,,,,"يلفاكتلا نيماتلا ةسسؤم
ةّقحتسم ريغ ةّيلاملا تافيظوّتلا ىلع ةبولطم حابرأ
اقّبسم ةلجّ سم ءابعأ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,1,,,,,,,,-788 105,1 407 157,,,,,,,,,,,,يلفاكتلا نيماتلا ةسسؤم عومجم,,,619 052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,1,"-367 214 734 427 367 213
-356 794 3 337 391 2 980 597",,,,,,,,,"نيكرتشملا قودنص
ةّقحتسم ريغ ةّيلاملا تافيظوّتلا ىلع ةبولطم حابرأ
اقّبسم ةلجّ سم ءابعأ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,1,,,,,,,,-724 007,4 071 818,,,,,,,,,,,,نيكرتشملا قودنص عومجم,,,3 347 811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,1,,,,,,,,-1 512 112,5 478 975,,,,,,,,,,,,ماعلا عومجملا,,,3 966 863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,2,,,,,,,,-237 721,,,,,,,,,,,,,ةلجؤم ةقباس تاونسل نيكرتشملا قودنص زجع,,,,256 634,18 912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,2,,,,,,,,800 000,,,,,,,,,,,,,يرخا ةيفاص لوصا,,,,-2 943 990,-2 143 990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,2,,,,,,,,-161 701,,,,,,,,,,,,,ةيبساحملا ةنسلل نيكرتشملا قودنص زجع وأ ضئاف,,,,562 279,400 577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,2,,,,,,,,400 577,,,,,,,,,,,,,عومجملا,,,,-2 125 077,-1 724 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,3,,,,,,,,0,,,,,,,,,,,,,ررّ حملاو بتتكملا لام سأر,,,,,,20 145 010,20 145 010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,3,,,,,,,,187 723,,,,,,,,,,,,,ةيرابجا تاطايتحا,,,,,,1 071 274,1 258 997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,3,,,,,,,,380 000,,,,,,,,,,,,,ىرخا تاطايتحا,,,,,,6 080 000,6 460 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,3,,,,,,,,2 000 000,,,,,,,,,,,,,رامثتسلاا ةداعا تاطايتحا,,,,,,1 780 000,3 780 000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,3,,,,,,,,-2 049,,,,,,,,,,,,,ةلجؤم ةجيتن,,,,,,8 781,6 732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,3,,,,,,,,1 583 156,,,,,,,,,,,,,ةّيبساحملا ةنسّ لا ةجيتن,,,,,,3 745 674,5 328 831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,3,,,,,,,,188 637,,,,,,,,,,,,,ىرخأ ةيتاذ لاومأ,,,,,,717 846,906 483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,17,3,,,,,,,,4 337 468,,,,,,,,,,,,,عوــمجملا,,,,,,33 548 585,37 886 053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ىرخأ,ةيبساحملا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,712 573,,,,,,0,,,,,,,,,,,,,,,,,,,23 754 138,,,8 781,8 931 274,14 101 510,2023/12/31 نيح ىلإ ةدصرلأا عومجم,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,عيزوتلا دعب,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,6 043 500,,,0,0,6 043 500,سلجم رارق بسح لاملا سأر يف عيفرتلا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMANA,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 /06 /05 يف دقعنملا ةرادلإا,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
